permno,permco,yearly_ret_2011
10001,7953,0.0928229665071771
10002,7954,-0.52851711026616
10025,7975,0.0618634477555638
10026,7976,0.0776699029126214
10028,7978,0.686230248306998
10032,7980,-0.138180673591438
10044,7992,-0.133962072812088
10051,7999,-0.121710526315789
10065,20023,-0.112338858195212
10100,8042,-0.22460452853598
10104,8045,-0.188804554079696
10107,8048,-0.0721944245889921
10113,53202,-0.0649635764893723
10116,8028,0.00867052023121394
10137,20045,0.0113314447592067
10138,8087,-0.134235329887504
10145,22168,0.00258254934513928
10147,8093,-0.0679359584595413
10151,53202,-0.184481393507522
10158,53454,-0.114838709677419
10163,8106,-0.00215053763440875
10180,9743,0.927209705372617
10182,8125,0.107102845619538
10200,8135,-0.232300884955752
10201,53455,-0.0311653116531165
10207,9806,-0.179557291666667
10220,53456,-0.0736761320030698
10223,53458,-0.882619439868204
10225,20067,-0.15629117259552
10232,8158,-1.91358437935844
10239,714,-0.10838445807771
10252,8179,-0.0343241330502478
10253,7922,-0.53804347826087
10257,8185,-4.56603773584906
10258,8186,-0.383886255924171
10259,8187,-0.573863636363636
10272,8198,-0.101151315789474
10290,8212,0.512971382722653
10294,2089,-1.80912408759124
10297,8217,-0.103174603174603
10299,8220,-0.134083044982699
10302,8222,-0.0686517783291977
10308,8228,-0.0489009632007904
10318,8237,0.16460787130135
10324,8243,0.0622736138200056
10333,8254,-0.783018867924528
10355,8278,-0.0800621293419936
10363,8284,0.0453289110005528
10375,8292,-0.304582210242588
10382,8299,-0.086241134751773
10395,8314,-0.0732750242954325
10397,8317,0.0455531453362256
10421,8340,-0.211152882205514
10443,8360,-0.772988806360498
10463,8377,-0.423469387755102
10501,8418,-0.451185214945761
10507,7340,-0.469574036511156
10514,8431,0.462369942196532
10516,20207,-0.0592105263157894
10517,5674,0.288266537904394
10530,8441,-0.203045685279188
10547,8458,0.936386768447837
10550,8461,0.206225490196078
10568,5580,0.56
10606,8508,-0.0771513353115727
10629,8534,0.10665362035225
10644,8548,0.0499999999999999
10645,8549,0.0796511627906977
10649,8551,-0.178200692041523
10656,37,-0.252437703141928
10659,8563,-0.280406899601946
10661,8565,1.21337579617834
10667,8570,-0.456851119894598
10693,8596,-0.156563245823389
10696,8598,-0.0127731092436974
10769,8665,0.196491228070175
10772,8668,-0.505050505050505
10777,8674,-0.0933160103626942
10779,65,-0.382022471910112
10781,8677,-0.109861591695502
10812,8702,-0.122774708410068
10822,8710,-0.165714285714286
10838,8721,-0.733333333333333
10853,8738,-0.537714470702493
10860,8743,0.515806988352745
10866,20342,-0.356936416184971
10874,20344,-0.0598646538261323
10886,8762,-0.211796246648794
10890,21814,-0.253409090909091
10892,8766,-0.270144103917191
10901,8778,0.154988698740717
10909,8786,-0.361313868613139
10913,8788,-0.110891089108911
10932,8810,0.0318825910931174
10933,8811,0.0626297295792294
10942,8818,-0.0779569892473118
10952,8826,-0.340978593272171
11003,53459,0.013277428371768
11006,8879,-0.0895883777239709
11018,8889,6.12244897959184
11038,8908,-0.769383697813121
11043,8909,0.0731132075471697
11056,8926,-0.143150333504361
11061,53101,-0.206887966804979
11077,374,-0.190303705767623
11081,9833,0.0686632578524471
11131,8990,-1.98385093167702
11132,8958,0.645771732702543
11137,8995,0.722972972972973
11144,9002,0.488839285714286
11154,9010,0.019279128248114
11157,376,-0.0462565569861707
11174,9023,0.407833273445922
11182,53101,-0.327932675960558
11196,53101,-0.229795482416235
11203,9053,-0.23406506215287
11208,9058,-0.0288692862870891
11246,9096,0.128421052631579
11264,53101,-2.00381927667646
11267,9117,-0.131682813060639
11285,9141,-0.296973518284994
11292,9146,0.453125
11293,9147,-0.00510986203372516
11308,20468,0.0728304201165287
11343,9188,0.284725781650436
11348,9193,0.0459259259259259
11361,53460,-0.0089112746997288
11363,53146,-0.507488986784141
11368,6977,-0.129230769230769
11369,9213,-0.056093489148581
11370,53461,-0.287246722288439
11378,9221,0.0403973509933776
11379,9222,-0.283018867924528
11382,9225,-0.122412241224122
11393,9234,0.235454545454545
11394,9235,-0.81413612565445
11397,9239,0.0637539010254124
11402,9244,-0.185606060606061
11403,9245,0.245508982035928
11404,20499,0.251866801210898
11406,9247,0.111902766135792
11407,53120,-0.393053790766624
11426,9264,0.833333333333333
11442,9280,-0.0894680279419666
11456,5348,0.122448979591837
11478,9309,-0.0561545372866128
11481,9312,-0.0803162713275073
11499,176,-0.0496575342465753
11505,53120,-1.73613820005573
11506,9838,0.79144385026738
