permno,permco,correlation
10001,7953,0.293168845250529
10002,7954,0.1229397678128
10025,7975,0.71954827820625
10026,7976,0.793998055454881
10028,7978,0.213824624825929
10032,7980,0.704085102718905
10044,7992,0.150239432564814
10051,7999,0.585723405676299
10065,20023,0.953925354461383
10100,8042,0.0485801548426597
10104,8045,0.789144182966419
10107,8048,0.767077114982911
10113,53202,0.842060374160056
10116,8028,0.447293108227351
10137,20045,0.0487857622432242
10138,8087,0.899643266900798
10145,22168,0.878073530356806
10147,8093,0.801455705624234
10151,53202,-0.1268346061941
10158,53454,0.622792705990602
10163,8106,0.68427379952033
10180,9743,0.411982601778538
10182,8125,0.804828416648262
10200,8135,0.137760826054877
10201,53455,0.714363871902556
10207,9806,0.933314291191729
10220,53456,0.721118662289188
10223,53458,0.530264827677241
10225,20067,0.770978382937122
10232,8158,0.00681772408896008
10239,714,0.733055724633255
10252,8179,0.818991687049095
10253,7922,0.267529394041791
10257,8185,0.123817097566795
10258,8186,0.643475345045275
10259,8187,0.487759208159892
10272,8198,0.537231425133218
10290,8212,0.179481737619376
10294,2089,0.586307040673226
10297,8217,0.302803988492679
10299,8220,0.792892104726274
10302,8222,0.731770820531486
10308,8228,0.762918390003094
10318,8237,0.823500931266794
10324,8243,0.131226054255374
10333,8254,0.299892950067199
10355,8278,0.0957478137285094
10363,8284,0.458958955481877
10375,8292,0.772581322839499
10382,8299,0.88109340207058
10395,8314,0.806547535669409
10397,8317,0.785221196658566
10421,8340,0.57120820902478
10443,8360,0.614022864316198
10463,8377,0.28952605074552
10501,8418,0.671652244447628
10507,7340,0.690116896286636
10514,8431,-0.00382328664373627
10516,20207,0.805736292181148
10517,5674,0.615325651198367
10530,8441,0.71284522716575
10547,8458,0.473985136584018
10550,8461,0.188129719244376
10568,5580,0.0376765884081273
10606,8508,0.821335371496137
10629,8534,0.839862592292316
10644,8548,0.253576676962563
10645,8549,0.153848174288579
10649,8551,0.286433133922813
10656,37,0.721647309431226
10659,8563,0.477942815441875
10661,8565,0.180456563584428
10667,8570,0.732160255034638
10693,8596,0.736427657756438
10696,8598,0.843917054451059
10769,8665,0.128448507294745
10772,8668,0.164364085099416
10777,8674,0.799396526396182
10779,65,0.0734704987421053
10781,8677,0.105914364789178
10812,8702,0.700519584070784
10822,8710,-0.289006856397211
10838,8721,0.377803449407601
10853,8738,0.589592301564958
10860,8743,0.70179948867115
10866,20342,0.738320164854188
10874,20344,0.817234544155367
10886,8762,0.0969845195103621
10890,21814,0.613687877403112
10892,8766,0.762054003932805
10901,8778,0.185655625938801
10909,8786,0.699883020136487
10913,8788,0.176730546179974
10932,8810,0.865835756189579
10933,8811,0.783354133440754
10942,8818,0.334891570824873
10952,8826,0.687674582123256
11003,53459,0.378674592906959
11006,8879,0.702146059980929
11018,8889,0.439788904493442
11038,8908,0.397734183460105
11043,8909,0.253015447605752
11056,8926,0.679266373830219
11061,53101,-0.84898459410675
11077,374,0.786453326144624
11081,9833,0.70129636019479
11131,8990,-0.0317890579882789
11132,8958,0.445275799184984
11137,8995,0.123729500138823
11144,9002,0.635124986990371
11154,9010,0.617178626253608
11157,376,0.243746071561992
11174,9023,0.645548820838256
11182,53101,0.839551079956091
11196,53101,-0.776370111617871
11203,9053,0.716806967190907
11208,9058,0.77381249646981
11246,9096,0.642945131923189
11264,53101,0.689771539207754
11267,9117,0.657824871585942
11285,9141,0.700412773226996
11292,9146,0.240452272999299
11293,9147,0.807393170742355
11308,20468,0.719340339706254
11343,9188,0.520938172946034
11348,9193,0.761618687865862
11361,53460,0.431701750862621
11363,53146,0.707208028448689
11368,6977,0.336535642706898
11369,9213,0.802580018313506
11370,53461,0.599724691862227
11378,9221,0.628752680692086
11379,9222,0.531580670748468
11382,9225,0.805270490437987
11393,9234,0.0554065579099424
11394,9235,0.354559971026783
11397,9239,0.792294259070242
11402,9244,0.322165241866087
11403,9245,0.791961142891144
11404,20499,0.598840828045423
11406,9247,0.341387193409621
11407,53120,0.928600233675304
11426,9264,-0.0661173665314951
11442,9280,0.804874168795442
11456,5348,0.146185190423263
11478,9309,0.751764834690389
11481,9312,0.56038880172668
11499,176,0.274547717415329
11505,53120,0.759670839703326
11506,9838,0.0826218949519776
11510,5977,0.510828037949418
11513,9341,0.0241061226747159
11533,9360,0.746697917468176
11547,9370,0.797462951469547
11552,9374,0.599965255233606
11565,9389,0.211054938252582
11581,323,0.848618292652941
11587,392,0.705209876996992
11593,9418,0.044646930316823
11599,9425,0.796047526067229
11600,9424,0.848259071076011
11618,9440,0.823361635282898
11628,9449,0.436495124963094
11636,9457,0.146785566749727
11638,9459,0.587899231993164
11641,9462,0.575631953844043
11644,9465,0.71219509139971
11648,53120,0.772435901518883
11652,9473,0.363622563662795
11654,9476,0.0555122475899136
11664,53462,0.502730056037364
11674,20574,0.775351778786822
11691,157,0.70298758983546
11701,9522,0.651855814789324
11703,20606,0.898390891462333
11707,9526,0.524127759206169
11731,9550,0.79095742363858
11748,8686,0.0405031053970118
11750,9490,0.111228327063178
11752,9558,0.785480157068669
11754,20626,0.083680882504868
11762,20627,0.878677047425754
11775,9576,0.572348371933097
11781,9582,0.158130854881895
11786,9588,0.842698678158429
11790,153,0.646232384313435
11803,9604,0.508188365924941
11809,9616,0.75667012626415
11814,37493,0.682969461719761
11825,9632,0.409882766221449
11839,9641,0.104889920983924
11844,9645,0.771234403814287
11845,9646,0.822459627171382
11847,9664,-0.295208301994641
11850,20678,0.815271554901441
