permno,permco,correlation
10001,7953,0.103680743777476
10002,7954,0.106402130270876
10025,7975,0.568309622313311
10026,7976,0.531373747153143
10028,7978,0.140051921879338
10032,7980,0.65622606002088
10044,7992,0.195019951484385
10051,7999,0.37970098802115
10065,20023,0.938191858701633
10078,8021,-0.18652613628336
10092,8035,0.254484210055283
10100,8042,0.0676629139804728
10104,8045,0.635625763256404
10107,8048,0.676777689440777
10113,53202,0.741763379209303
10116,8028,0.243402545680036
10137,20045,0.533318530506305
10138,8087,0.81853758356317
10143,8092,0.160607716412993
10145,22168,0.871724044613456
10147,8093,0.704731122368215
10151,53202,-0.330066663108348
10158,53454,0.230563797822091
10163,8106,0.453484402696049
10180,9743,0.344127737887072
10182,8125,0.736367917556702
10200,8135,0.382414007012487
10201,53455,0.406111154138622
10205,8140,-0.0281056679602335
10207,9806,0.917745143560141
10220,53456,0.287613336839536
10223,53458,0.144516548776955
10225,20067,0.711637950850016
10232,8158,0.0910676490146119
10239,714,0.695270013470887
10252,8179,0.684657117227376
10253,7922,0.267641570879463
10257,8185,0.142380487232373
10258,8186,0.454405952025154
10259,8187,0.577269317813203
10272,8198,0.667122527488107
10290,8212,0.661165326465189
10294,2089,0.5476016189101
10297,8217,0.118321675020672
10299,8220,0.729985281000604
10302,8222,0.684349861778901
10304,8224,0.0190124301571869
10308,8228,0.728042785611086
10318,8237,0.646177673588697
10324,8243,0.352904789446095
10333,8254,0.183563027732184
10353,8275,0.514450401402919
10355,8278,-0.0600699435113593
10363,8284,0.331940068433871
10371,8290,1
10375,8292,0.584983626642031
10382,8299,0.711464332555479
10395,8314,0.595105461414174
10397,8317,0.658432974211397
10404,8321,0.278414062442617
10421,8340,0.683196675849243
10443,8360,0.406099114710589
10463,8377,0.158955739074477
10501,8418,0.686159312537584
10507,7340,0.522452433977922
10514,8431,0.201284705368014
10516,20207,0.535479554678058
10517,5674,0.437571527769757
10530,8441,0.525487495806976
10547,8458,0.145231447297335
10550,8461,0.165977256049907
10563,8472,0.235572297760714
10568,5580,0.103838834238003
10597,8500,-0.0918879155007987
10606,8508,0.819263081881194
10629,8534,0.748001225485237
10638,8544,0.463600953963911
10644,8548,0.216005541273226
10645,8549,0.0242390935434761
10649,8551,0.407966168288201
10656,37,0.71976722898146
10659,8563,0.61491089111671
10661,8565,0.0286247473414036
10667,8570,0.354050090490407
10693,8596,0.65717941569242
10696,8598,0.741363920297269
10769,8665,0.03095349921337
10777,8674,0.643192950858579
10779,65,0.322506743003913
10781,8677,0.0749005987453018
10785,8681,-0.436782931357811
10812,8702,0.68868135758677
10822,8710,0.0929045625907437
10825,8711,0.23179783758193
10838,8721,0.324003747272026
10853,8738,0.547755291459083
10860,8743,0.636086649027875
10866,20342,0.57031016395046
10874,20344,0.726445069536419
